Balance    PortfolioTotalVaule    Date
430.04     569.96                 Mon Dec 12 19:06:37 2016
399.42     29.62                  Mon Dec 12 19:07:20 2016
368.80     29.62                  Mon Dec 12 19:08:17 2016
338.18     29.62                  Mon Dec 12 19:09:04 2016
338.18     0.00                   Mon Dec 12 19:14:08 2016
338.18     0.00                   Mon Dec 12 19:14:32 2016
338.18     0.00                   Tue Dec 13 06:26:09 2016
338.18     0.00                   Tue Dec 13 09:57:02 2016
338.18     0.00                   Tue Dec 13 10:00:19 2016
338.18     0.00                   Tue Dec 13 10:09:20 2016
338.18     0.00                   Tue Dec 13 10:11:14 2016
338.18     0.00                   Tue Dec 13 10:11:45 2016
338.18     0.00                   Tue Dec 13 10:12:23 2016
338.18     0.00                   Tue Dec 13 10:13:23 2016
338.18     0.00                   Tue Dec 13 10:59:58 2016
338.18     0.00                   Tue Dec 13 11:06:11 2016
338.18     0.00                   Tue Dec 13 11:06:39 2016
6706.22    3531.96                Tue Dec 13 19:19:58 2016  
6706.22    3531.96                Wed Dec 14 15:04:04 2016
3468.12    6770.06                Wed Dec 14 19:41:42 2016
3468.12    6949.06                Wed Dec 14 19:43:30 2016
3468.12    6770.06                Sun Dec 18 17:21:44 2016
3468.12    6949.06                Sun Dec 18 17:23:01 2016
2899.16    7518.03                Sun Dec 18 17:27:14 2016
2899.16    7340.03                Mon Dec 19 20:31:05 2016
6597.34    13151.85               Mon Dec 19 20:45:24 2016
