Event     Amount    Date         Balance
WithDraw  $568.96   12/14/2016   $5567.30  
WithDraw  $569.96   12/14/2016   $4997.34  
WithDraw  $569.96   12/14/2016   $4427.38  
WithDraw  $3062.00  12/14/2016   $1365.38  
WithDraw  $569.96   12/14/2016   $795.42   
WithDraw  $568.96   12/14/2016   $796.42   
WithDraw  $568.96   12/14/2016   $796.42   
WithDraw  $568.96   12/14/2016   $6137.26  
WithDraw  $569.96   12/14/2016   $6136.26  
WithDraw  $569.96   12/14/2016   $6136.26  
WithDraw  $1538.00  12/14/2016   $5168.22  
WithDraw  $1700.10  12/14/2016   $3468.12  
WithDraw  $568.96   12/18/2016   $2899.16  
Deposit   $10000.00 12/19/2016   $12899.16 
WithDraw  $100.00   12/19/2016   $12799.16 
WithDraw  $100.00   12/19/2016   $12699.16 
WithDraw  $100.00   12/19/2016   $12599.16 
WithDraw  $100.00   12/19/2016   $12499.16 
WithDraw  $3062.00  12/19/2016   $9437.16  
WithDraw  $5689.64  12/19/2016   $3747.52  
Deposit   $2849.82  12/19/2016   $6597.34  
