Event   CompSymbol  Number  PricePerShare  TotalValue  Time 
Buy     MSFT        100     $30.62         $3062.00    18:46:28
Sell    MSFT        25      $29.62         $740.50     18:46:37
Buy     GOOG        1       $569.96        $569.96     18:48:24
Buy     GOOG        1       $569.96        $569.96     18:50:57
Buy     GOOG        1       $568.96        $568.96     18:53:20
Buy     GOOG        1       $569.96        $569.96     19:3:59
Buy     GOOG        1       $569.96        $569.96     19:4:26
Buy     GOOG        1       $569.96        $569.96     19:6:34
Buy     MSFT        1       $30.62         $30.62      19:7:18
Buy     MSFT        1       $30.62         $30.62      19:8:15
Buy     MSFT        1       $30.62         $30.62      19:9:10
Buy     MSFT        1       $29.62         $29.62      19:10:80
Buy     YHOO        1       $15.38         $15.38      19:10:59
Buy     GOOG        1       $569.96        $569.96     19:16:90
Buy     MSFT        100     $29.62         $2962.00    19:16:29
Buy     GOOG        1       $568.96        $568.96     19:18:17
Buy     GOOG        1       $569.96        $569.96     19:19:36
Buy     MSFT        100     $30.62         $3062.00    19:19:49
Buy     GOOG        1       $569.96        $569.96     19:20:59
Buy     GOOG        1       $568.96        $568.96     14:13:27
Buy     GOOG        1       $569.96        $569.96     14:36:32
Buy     GOOG        1       $569.96        $569.96     14:38:27
Buy     MSFT        100     $30.62         $3062.00    14:40:30
Buy     GOOG        1       $569.96        $569.96     14:41:26
Buy     GOOG        1       $568.96        $568.96     14:43:33
Buy     GOOG        1       $568.96        $568.96     14:48:70
Buy     GOOG        1       $568.96        $568.96     14:57:21
Buy     GOOG        1       $569.96        $569.96     14:57:57
Buy     GOOG        1       $569.96        $569.96     14:59:36
Buy     YHOO        100     $15.38         $1538.00    19:40:48
Buy     GS          10      $170.01        $1700.10    19:41:27
Buy     GOOG        1       $568.96        $568.96     17:26:57
Buy     MSFT        100     $30.62         $3062.00    20:42:29
Buy     GOOG        10      $568.96        $5689.64    20:42:42
Sell    GOOG        5       $569.96        $2849.82    20:43:40
